Time (h), Inlet temperature (degC)
1,8.6683
2,11.735
3,12.151
4,12.367
5,12.563
6,12.727
7,12.881
8,13.035
9,13.189
10,13.315
11,13.414
12,13.513
13,13.612
14,13.711
15,13.809
16,13.908
17,14.007
18,14.106
19,14.141
20,14.175
21,14.209
22,14.243
23,14.278
24,14.312
25,14.346
26,14.38
27,14.415
28,14.449
29,14.483
30,14.517
31,14.552
32,14.586
33,14.62
34,14.654
35,14.689
36,14.626
37,14.562
38,14.498
39,14.433
40,14.369
41,14.305
42,14.241
43,14.176
44,14.112
45,14.048
46,13.983
47,13.919
48,13.855
49,13.79
50,13.726
51,13.662
52,13.597
53,13.533
54,13.469
55,13.404
56,13.34
57,13.276
58,13.212
59,13.147
60,13.083
61,13.019
62,12.954
63,12.89
64,12.826
65,12.761
66,12.697
67,12.633
68,12.568
69,12.504
70,12.506
71,12.513
72,12.519
73,12.525
74,12.532
75,12.538
76,12.544
77,12.551
78,12.557
79,12.563
80,12.57
81,12.576
82,12.582
83,12.589
84,12.595
85,12.601
86,12.608
87,12.614
88,12.62
89,12.627
90,12.633
91,12.639
92,12.646
93,12.652
94,12.658
95,12.665
96,12.671
97,12.677
98,12.684
99,12.69
100,12.696
101,12.703
102,12.709
103,12.715
104,12.722
105,12.728
106,12.734
107,12.741
108,12.747
109,12.753
110,12.76
111,12.766
112,12.772
113,12.779
114,12.785
115,12.791
116,12.798
117,12.804
118,12.81
119,12.817
120,12.823
121,12.829
122,12.836
123,12.842
124,12.848
125,12.855
126,12.861
127,12.867
128,12.874
129,12.88
130,12.886
131,12.893
132,12.899
133,12.905
134,12.912
135,12.918
136,12.924
137,12.931
138,12.97
139,13.015
140,13.06
141,13.105
142,13.15
143,13.195
144,13.24
145,13.285
146,13.33
147,13.374
148,13.419
149,13.464
150,13.509
151,13.554
152,13.599
153,13.644
154,13.689
155,13.734
156,13.779
157,13.824
158,13.869
159,13.913
160,13.958
161,14.003
162,14.048
163,14.093
164,14.138
165,14.183
166,14.228
167,14.273
168,14.318
169,14.363
170,14.408
171,14.452
172,14.497
173,14.542
174,14.587
175,14.632
176,14.677
177,14.722
178,14.767
179,14.812
180,14.857
181,14.902
182,14.947
183,14.991
184,15.036
185,15.081
186,15.126
187,15.171
188,15.216
189,15.261
190,15.306
191,15.351
192,15.396
193,15.441
194,15.486
195,15.53
196,15.575
197,15.62
198,15.665
199,15.71
200,15.755
201,15.8
202,15.845
203,15.89
204,15.935
205,15.98
206,15.981
207,15.971
208,15.961
209,15.95
210,15.94
211,15.93
212,15.92
213,15.909
214,15.899
215,15.889
216,15.879
217,15.868
218,15.858
219,15.848
220,15.838
221,15.827
222,15.817
223,15.807
224,15.797
225,15.787
226,15.776
227,15.766
228,15.756
229,15.746
230,15.735
231,15.725
232,15.715
233,15.705
234,15.694
235,15.684
236,15.674
237,15.664
238,15.653
239,15.643
240,15.633
241,15.623
242,15.612
243,15.602
244,15.592
245,15.582
246,15.571
247,15.561
248,15.551
249,15.541
250,15.53
251,15.52
252,15.51
253,15.5
254,15.489
255,15.479
256,15.469
257,15.459
258,15.448
259,15.438
260,15.428
261,15.418
262,15.407
263,15.397
264,15.387
265,15.377
266,15.366
267,15.356
268,15.346
269,15.336
270,15.325
271,15.315
272,15.305
273,15.295
274,15.285
275,15.274
276,15.264
277,15.254
278,15.244
279,15.233
280,15.223
281,15.213
282,15.203
283,15.192
284,15.182
285,15.172
286,15.162
287,15.151
288,15.141
289,15.131
290,15.121
291,15.11
292,15.1
293,15.09
294,15.08
295,15.069
296,15.059
297,15.049
298,15.039
299,15.028
300,15.018
301,15.008
302,14.998
303,14.987
304,14.977
305,14.967
306,14.957
307,14.946
308,14.936
309,14.926
310,14.916
311,14.905
312,14.895
313,14.885
314,14.875
315,14.864
316,14.854
317,14.844
318,14.834
319,14.824
320,14.813
321,14.803
322,14.793
323,14.783
324,14.772
325,14.762
326,14.752
327,14.742
328,14.731
329,14.721
330,14.711
331,14.701
332,14.69
333,14.68
334,14.67
335,14.66
336,14.649
337,14.639
338,14.629
339,14.619
340,14.608
341,14.598
342,14.642
343,14.717
344,14.792
345,14.867
346,14.942
347,15.017
348,15.092
349,15.167
350,15.242
351,15.317
352,15.392
353,15.467
354,15.542
355,15.617
356,15.692
357,15.767
358,15.842
359,15.917
360,15.992
361,16.067
362,16.142
363,16.217
364,16.292
365,16.367
366,16.442
367,16.517
368,16.592
369,16.667
370,16.742
371,16.817
372,16.892
373,16.967
374,17.042
375,17.117
376,17.192
377,17.267
378,17.342
379,17.417
380,17.492
381,17.567
382,17.642
383,17.717
384,17.792
385,17.867
386,17.942
387,18.017
388,18.092
389,18.167
390,18.242
391,18.317
392,18.392
393,18.467
394,18.542
395,18.617
396,18.692
397,18.767
398,18.842
399,18.917
400,18.992
401,19.067
402,19.142
403,19.217
404,19.292
405,19.368
406,19.443
407,19.518
408,19.593
409,19.668
410,19.743
411,19.818
412,19.893
413,19.968
414,20.043
415,20.118
416,20.193
417,20.268
418,20.343
419,20.418
420,20.493
421,20.568
422,20.643
423,20.718
424,20.793
425,20.868
426,20.943
427,21.018
428,21.093
429,21.168
430,21.243
431,21.318
432,21.393
433,21.468
434,21.543
435,21.618
436,21.693
437,21.768
438,21.843
439,21.918
440,21.993
441,22.068
442,22.143
443,22.218
444,22.293
445,22.368
446,22.443
447,22.518
448,22.593
449,22.668
450,22.743
451,22.818
452,22.893
453,22.968
454,23.043
455,23.118
456,23.193
457,23.268
458,23.343
459,23.418
460,23.493
461,23.568
462,23.643
463,23.718
464,23.793
465,23.868
466,23.943
467,24.018
468,24.093
469,24.168
470,24.243
471,24.318
472,24.393
473,24.468
474,24.543
475,24.618
476,24.693
477,24.768
478,24.779
479,24.722
480,24.666
481,24.609
482,24.552
483,24.495
484,24.438
485,24.381
486,24.324
487,24.267
488,24.21
489,24.153
490,24.096
491,24.039
492,23.982
493,23.925
494,23.868
495,23.811
496,23.754
497,23.697
498,23.64
499,23.583
500,23.526
501,23.469
502,23.412
503,23.355
504,23.298
505,23.241
506,23.184
507,23.127
508,23.07
509,23.013
510,22.956
511,22.899
512,22.842
513,22.785
514,22.728
515,22.671
516,22.614
517,22.557
518,22.5
519,22.443
520,22.386
521,22.33
522,22.273
523,22.216
524,22.159
525,22.102
526,22.045
527,21.988
528,21.931
529,21.874
530,21.817
531,21.76
532,21.703
533,21.646
534,21.589
535,21.532
536,21.475
537,21.418
538,21.361
539,21.304
540,21.247
541,21.19
542,21.133
543,21.076
544,21.019
545,20.962
546,20.905
547,20.848
548,20.791
549,20.734
550,20.677
551,20.62
552,20.563
553,20.506
554,20.449
555,20.392
556,20.335
557,20.278
558,20.221
559,20.164
560,20.107
561,20.05
562,19.994
563,19.937
564,19.88
565,19.823
566,19.766
567,19.709
568,19.652
569,19.595
570,19.538
571,19.481
572,19.424
573,19.367
574,19.31
575,19.253
576,19.196
577,19.139
578,19.082
579,19.025
580,18.968
581,18.911
582,18.854
583,18.797
584,18.74
585,18.683
586,18.626
587,18.569
588,18.512
589,18.455
590,18.398
591,18.341
592,18.284
593,18.227
594,18.17
595,18.113
596,18.056
597,17.999
598,17.942
599,17.885
600,17.828
601,17.771
602,17.714
603,17.658
604,17.601
605,17.544
606,17.487
607,17.43
608,17.373
609,17.316
610,17.259
611,17.202
612,17.145
613,17.088
614,17.073
615,17.146
616,17.219
617,17.291
618,17.364
619,17.437
620,17.509
621,17.582
622,17.655
623,17.727
624,17.8
625,17.873
626,17.945
627,18.018
628,18.091
629,18.163
630,18.236
631,18.309
632,18.381
633,18.454
634,18.527
635,18.599
636,18.672
637,18.745
638,18.817
639,18.89
640,18.963
641,19.035
642,19.108
643,19.181
644,19.253
645,19.326
646,19.399
647,19.471
648,19.544
649,19.617
650,19.689
651,19.762
652,19.835
653,19.907
654,19.98
655,20.052
656,20.125
657,20.198
658,20.27
659,20.343
660,20.416
661,20.488
662,20.561
663,20.634
664,20.706
665,20.779
666,20.852
667,20.924
668,20.997
669,21.07
670,21.142
671,21.215
672,21.288
673,21.36
674,21.433
675,21.506
676,21.578
677,21.651
678,21.724
679,21.796
680,21.869
681,21.942
682,22.014
683,22.087
684,22.16
685,22.232
686,22.301
687,22.357
688,22.413
689,22.469
690,22.525
691,22.581
692,22.637
693,22.693
694,22.749
695,22.805
696,22.861
697,22.917
698,22.973
699,23.029
700,23.085
701,23.141
702,23.197
703,23.253
704,23.309
705,23.365
706,23.421
707,23.477
708,23.533
709,23.589
710,23.645
711,23.701
712,23.757
713,23.814
714,23.87
715,23.926
716,23.982
717,24.038
718,24.094
719,24.15
720,24.206
721,24.262
722,24.318
723,24.374
724,24.43
725,24.486
726,24.542
727,24.598
728,24.654
729,24.71
730,24.766
731,24.822
732,24.878
733,24.934
734,24.99
735,25.046
736,25.102
737,25.158
738,25.214
739,25.27
740,25.326
741,25.383
742,25.439
743,25.495
744,25.551
745,25.607
746,25.663
747,25.719
748,25.775
749,25.831
750,25.887
751,25.943
752,25.999
753,26.055
754,26.111
755,26.167
756,26.223
757,26.279
758,26.335
759,26.389
760,26.444
761,26.498
762,26.552
763,26.607
764,26.661
765,26.716
766,26.77
767,26.824
768,26.879
769,26.933
770,26.988
771,27.042
772,27.096
773,27.151
774,27.205
775,27.26
776,27.314
777,27.368
778,27.423
779,27.477
780,27.532
781,27.586
782,27.641
783,27.695
784,27.749
785,27.804
786,27.858
787,27.913
788,27.967
789,28.021
790,28.076
791,28.13
792,28.185
793,28.239
794,28.293
795,28.348
796,28.402
797,28.457
798,28.511
799,28.565
800,28.62
801,28.674
802,28.729
803,28.783
804,28.837
805,28.892
806,28.946
807,29.001
808,29.055
809,29.109
810,29.164
811,29.218
812,29.273
813,29.327
814,29.381
815,29.436
816,29.49
817,29.545
818,29.599
819,29.653
820,29.708
821,29.762
822,29.817
823,29.871
824,29.925
825,29.98
826,30.034
827,30.089
828,30.143
829,30.197
830,30.252
831,30.306
832,30.361
833,30.415
834,30.47
835,30.524
836,30.578
837,30.633
838,30.687
839,30.742
840,30.796
841,30.85
842,30.905
843,30.959
844,31.014
845,31.068
846,31.122
847,31.177
848,31.231
849,31.286
850,31.34
851,31.394
852,31.449
853,31.503
854,31.558
855,31.612
856,31.666
857,31.721
